Sentence,Sentiment,Tokens
The GeoSolutions technology will leverage Benefon s GPS solutions by providing Location Based Search Technology  a Communities Platform  location relevant multimedia content and a new and powerful commercial model ,positive,"['The', 'GeoSolutions', 'technology', 'will', 'leverage', 'Benefon', 's', 'GPS', 'solutions', 'by', 'providing', 'Location', 'Based', 'Search', 'Technology', 'a', 'Communities', 'Platform', 'location', 'relevant', 'multimedia', 'content', 'and', 'a', 'new', 'and', 'powerful', 'commercial', 'model']"
ESI on lows down 150 to 250 BK a real possibility,negative,"['ESI', 'on', 'lows', 'down', '150', 'to', '250', 'BK', 'a', 'real', 'possibility']"
For the last quarter of 2010  Componenta s net sales doubled to EUR131m from EUR76m for the same period a year earlier  while it moved to a zero pretax profit from a pretax loss of EUR7m ,positive,"['For', 'the', 'last', 'quarter', 'of', '2010', 'Componenta', 's', 'net', 'sales', 'doubled', 'to', 'EUR131m', 'from', 'EUR76m', 'for', 'the', 'same', 'period', 'a', 'year', 'earlier', 'while', 'it', 'moved', 'to', 'a', 'zero', 'pretax', 'profit', 'from', 'a', 'pretax', 'loss', 'of', 'EUR7m']"
According to the FinnishRussian Chamber of Commerce  all the major construction companies of Finland are operating in Russia ,neutral,"['According', 'to', 'the', 'FinnishRussian', 'Chamber', 'of', 'Commerce', 'all', 'the', 'major', 'construction', 'companies', 'of', 'Finland', 'are', 'operating', 'in', 'Russia']"
The Swedish buyout firm has sold its remaining 224 percent stake  almost eighteen months after taking the company public in Finland ,neutral,"['The', 'Swedish', 'buyout', 'firm', 'has', 'sold', 'its', 'remaining', '224', 'percent', 'stake', 'almost', 'eighteen', 'months', 'after', 'taking', 'the', 'company', 'public', 'in', 'Finland']"
SPY wouldnt be surprised to see a green close,positive,"['SPY', 'wouldnt', 'be', 'surprised', 'to', 'see', 'a', 'green', 'close']"
Shells 70 Billion BG Deal Meets Shareholder Skepticism,negative,"['Shells', '70', 'Billion', 'BG', 'Deal', 'Meets', 'Shareholder', 'Skepticism']"
SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14  2008 AT 245 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year ,negative,"['SSH', 'COMMUNICATIONS', 'SECURITY', 'CORP', 'STOCK', 'EXCHANGE', 'RELEASE', 'OCTOBER', '14', '2008', 'AT', '245', 'PM', 'The', 'Company', 'updates', 'its', 'full', 'year', 'outlook', 'and', 'estimates', 'its', 'results', 'to', 'remain', 'at', 'loss', 'for', 'the', 'full', 'year']"
Kone s net sales rose by some 14  yearonyear in the first nine months of 2008 ,positive,"['Kone', 's', 'net', 'sales', 'rose', 'by', 'some', '14', 'yearonyear', 'in', 'the', 'first', 'nine', 'months', 'of', '2008']"
The Stockmann department store will have a total floor space of over 8000 square metres and Stockmann s investment in the project will have a price tag of about EUR 12 million ,neutral,"['The', 'Stockmann', 'department', 'store', 'will', 'have', 'a', 'total', 'floor', 'space', 'of', 'over', '8000', 'square', 'metres', 'and', 'Stockmann', 's', 'investment', 'in', 'the', 'project', 'will', 'have', 'a', 'price', 'tag', 'of', 'about', 'EUR', '12', 'million']"
Circulation revenue has increased by 5  in Finland and 4  in Sweden in 2008 ,positive,"['Circulation', 'revenue', 'has', 'increased', 'by', '5', 'in', 'Finland', 'and', '4', 'in', 'Sweden', 'in', '2008']"
SAP Q1 disappoints as software licenses down Real problem Cloud growth trails MSFT ORCL GOOG CRM ADBE httpstcojNDphllzq5,negative,"['SAP', 'Q1', 'disappoints', 'as', 'software', 'licenses', 'down', 'Real', 'problem', 'Cloud', 'growth', 'trails', 'MSFT', 'ORCL', 'GOOG', 'CRM', 'ADBE', 'httpstcojNDphllzq5']"
The subdivision made sales revenues last year of EUR 4807 million EUR 4149 million in 2008  and operating profits of EUR 445 million EUR 74 million ,positive,"['The', 'subdivision', 'made', 'sales', 'revenues', 'last', 'year', 'of', 'EUR', '4807', 'million', 'EUR', '4149', 'million', 'in', '2008', 'and', 'operating', 'profits', 'of', 'EUR', '445', 'million', 'EUR', '74', 'million']"
Viking Line has canceled some services ,neutral,"['Viking', 'Line', 'has', 'canceled', 'some', 'services']"
Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 722007 at 1030 A total of 56955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company s stock option programs I 2001 and II 2001 ,neutral,"['Ahlstrom', 'Corporation', 'STOCK', 'EXCHANGE', 'ANNOUNCEMENT', '722007', 'at', '1030', 'A', 'total', 'of', '56955', 'new', 'shares', 'of', 'Ahlstrom', 'Corporation', 'have', 'been', 'subscribed', 'with', 'option', 'rights', 'under', 'the', 'company', 's', 'stock', 'option', 'programs', 'I', '2001', 'and', 'II', '2001']"
FB gone green on day,positive,"['FB', 'gone', 'green', 'on', 'day']"
MSFT SQL Server revenue grew doubledigit with SQL Server Premium revenue growing over 30 httpstkscoir2F,positive,"['MSFT', 'SQL', 'Server', 'revenue', 'grew', 'doubledigit', 'with', 'SQL', 'Server', 'Premium', 'revenue', 'growing', 'over', '30', 'httpstkscoir2F']"
According to Lnnen Tehtaat s CEO Matti Karppinen  the company aims to deliver fish products to its customers a day earlier than it currently does ,neutral,"['According', 'to', 'Lnnen', 'Tehtaat', 's', 'CEO', 'Matti', 'Karppinen', 'the', 'company', 'aims', 'to', 'deliver', 'fish', 'products', 'to', 'its', 'customers', 'a', 'day', 'earlier', 'than', 'it', 'currently', 'does']"
