Sentence,Sentiment
The GeoSolutions technology will leverage Benefon s GPS solutions by providing Location Based Search Technology  a Communities Platform  location relevant multimedia content and a new and powerful commercial model ,positive
ESI on lows down 150 to 250 BK a real possibility,negative
For the last quarter of 2010  Componenta s net sales doubled to EUR131m from EUR76m for the same period a year earlier  while it moved to a zero pretax profit from a pretax loss of EUR7m ,positive
According to the FinnishRussian Chamber of Commerce  all the major construction companies of Finland are operating in Russia ,neutral
The Swedish buyout firm has sold its remaining 224 percent stake  almost eighteen months after taking the company public in Finland ,neutral
SPY wouldnt be surprised to see a green close,positive
Shells 70 Billion BG Deal Meets Shareholder Skepticism,negative
SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14  2008 AT 245 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year ,negative
Kone s net sales rose by some 14  yearonyear in the first nine months of 2008 ,positive
The Stockmann department store will have a total floor space of over 8000 square metres and Stockmann s investment in the project will have a price tag of about EUR 12 million ,neutral
Circulation revenue has increased by 5  in Finland and 4  in Sweden in 2008 ,positive
SAP Q1 disappoints as software licenses down Real problem Cloud growth trails MSFT ORCL GOOG CRM ADBE httpstcojNDphllzq5,negative
The subdivision made sales revenues last year of EUR 4807 million EUR 4149 million in 2008  and operating profits of EUR 445 million EUR 74 million ,positive
Viking Line has canceled some services ,neutral
Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 722007 at 1030 A total of 56955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company s stock option programs I 2001 and II 2001 ,neutral
FB gone green on day,positive
MSFT SQL Server revenue grew doubledigit with SQL Server Premium revenue growing over 30 httpstkscoir2F,positive
According to Lnnen Tehtaat s CEO Matti Karppinen  the company aims to deliver fish products to its customers a day earlier than it currently does ,neutral
The company s share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj  RTRKS ,neutral
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd ,neutral
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer ,neutral
Aviva Friends Life top forecasts ahead of 56 billion pound merger,positive
In stead of being based on a soft drink  as is usual  the Teho energy drink is made with fresh water ,neutral
The company plans to increase the unit s specialist staff to several dozen  depending on the market situation during 2010 ,neutral
The company closed last year with a turnover of about four million euros ,neutral
Shire CEO steps up drive to get Baxalta board talking,positive
Costco A Premier Retail Dividend Play httpstcoFa5cnh2t0t COST,positive
The fivestorey  ecoefficient building will have a gross floor area of about 15000 sq m It will also include apartments ,neutral
The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden  whose personal artistic journey and work at Fiskars has led to dozens of design awards ,neutral
All are welcome ,neutral
Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30  2007  whereby Stockmann  or a whollyowned subsidiary of it  will make a public tender offer for all of Lindex s issued shares ,positive
HUHTAMAKI OYJ STOCK EXCHANGE RELEASE  1692008 AT 1332 Huhtamaki s Capital Markets Day for institutional investors and analysts is held in Espoo  September 16  2008 starting at 1330 pm Finnish time ,neutral
 We are pleased to welcome Tapeks Noma into Cramo group ,positive
 Profit before taxes was EUR 1059 827 million ,neutral
Royal Dutch Shell to Buy BG Group for Nearly 70 Billion,positive
FinancialWire tm is not a press release service  and receives no compensation for its news  opinions or distributions ,neutral
ASSA ABLOY Kaupthing Bank gave a  neutral  recommendation and a share price target of 174 crowns  247  19 euro on Swedish lock maker Assa Abloy AB ,neutral
The item included restructuring costs of EUR1 6 m  while a year earlier they were EUR13 1 m Diluted EPS stood at EUR0 3 versus a loss per share of EUR 01 ,positive
In 2005 the bank posted a net profit of Lt 82 mn ,neutral
AAPL afternoon selloff as usual will be brutal get ready to lose a ton of money,negative
TSLA recalling pretty much every single model X cnnbrk got to short that even at work you jump in money trade,negative
Dolce  Gabbana has asked the European Union to declare Marimekko Corporation s  Unikko  floral pattern trademark invalid  in a continuing dispute between the two companies ,negative
InterContinental Hotels firstquarter global room revenue lags estimates,negative
According to Finnish pension insurance company Varma  Varma was the recipient of over two thirds of the revenue of the earningsrelated pension cover that was under competitive tendering in Finland ,positive
A portion   125 million  will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj ,positive
LG still paying price for dividend cut during crisis chief says,negative
The volume of investments in the two phases of the project is estimated at USD 300mn  EUR 21503 mn  ,neutral
Russia accounted for 9  of the Lagardere magazine division s revenue  or EUR 11440 mn  USD 14811 mn  in 2009  the USA  for 18  ,neutral
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 1417 million ,positive
Profit of the accounting period was EUR 03 mn ,neutral
The six breweries recorded a 52 percent growth in domestic beer sales last year to 27021 million liters  from 25688 million liters sold in 2005 ,positive
In AugustOctober 2010  the company s result before taxes totalled EUR 96 mn  up from EUR 05 mn in the corresponding period in 2009 ,positive
Systeemitiimi s sales and project resources will also be strengthened  director Paul Skogberg said ,positive
Tesco share price jumps as Q3 sales top estimates,positive
The fine print is here ,neutral
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up ,positive
Thus  SysOpen Digia has  in accordance with Chapter 14 Section 21 of the Finnish Companies Act 2991978  734  obtained title to all the shares of Sentera that are to be redeemed ,neutral
Diluted earnings per share  EPS  fell to EUR 063 from EUR 171 ,neutral
At 337 pm Eastern time  a block of 2400 contracts changed hands at a bid price of  045 ,neutral
Some of the most recent technology deliveries include refinery technology to Anrak Aluminium  an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel ,neutral
VIPS similar pattern like beginning of May Did u sell Same nowwill go up much higher after this drop,positive
The firm generated sales of 187 mln eur in 2005 ,neutral
Stora Enso has also had meetings with the labor authorities  Employment and Economic Development Centres and representatives of the government in order to find solutions ,neutral
AstraZeneca profit down as sales of stalwarts fade,negative
RT andrewnyquist Chartology Yahoo httpstksco1itr YHOO  Crazy looking chart but nearing breakout resistance line,positive
Most bullish stocks on Twitter during this dip YHOO GDX GOOGL STZ GOLD EW VZ CELG SBUX SCTY more httpstcoiuZJelfwt3,positive
Finnish GeoSentric s net sales decreased to EUR 939000 in JanuaryMarch 2009 ,negative
Cohen  Steers  Inc  5 534 626 shares representing 4985  of the share capital and voting rights ,neutral
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide ,positive
Paper companies were in negative territories  with Stora Enso R shedding 162 pct to 1273 eur  UPMKymmene down 080 pct at 1864 eur and Mreal B 018 pct lower at 557 eur ,neutral
KaukoTelko s centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year ,neutral
Operating profit for the quarter AprilJune 2006 amounted to EUR182 2 m on sales of EUR3 62 bn ,neutral
Atria chose the DeLight to attract consumers in the 2545 age group to its Atria Fresh range of microwaveable meals ,neutral
Finnish IT solutions provider Affecto Oyj HEL  AFE1V said today its slipped to a net loss of EUR 115000 USD 152000 in the second quarter of 2010 from a profit of EUR 845000 in the corresponding period a year earlier ,neutral
US sanctions put GazpromShell alliance plans in jeopardy,negative
Profit for the period was EUR 109 mn  down from EUR 143 mn in 2009 ,neutral
Profit for the period was EUR 59 mn  up from EUR 13 mn ,positive
Operating profit fell to EUR 203 mn from EUR 742 mn in the second quarter of 2008 ,neutral
However  sales returned to growth in AprilJune 2010  CEO Pekka Eloholma said ,positive
Operating profit totaled EUR 186 mn or 83  of net sales ,neutral
Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant  according to the company ,negative
In connection with the deal  Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA ,neutral
The Brazilian unit of Finnish security solutions provider FSecure signed up 1500 new clients last year  online news source Reseller Web quoted the division s commercial director  Vladimir Brando  as saying ,positive
The fair value of the company s investment properties went down to EUR 2768 billion at the end of 2009 from EUR 2916 billion a year earlier ,neutral
Dealers said the share was largely hit by investor disappointment about a refining margin of just 948 usd per barrel for the quarter and the performance of its shipping unit  which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates ,negative
 It is a testament to the quality of our LTE solution and our commitment to the Japanese market   he added ,neutral
