Sentence,Sentiment,Tokens
GeoSolutions technology leverage Benefon GPS solution providing Location Based Search Technology Communities Platform location relevant multimedia content new powerful commercial model,positive,"['GeoSolutions', 'technology', 'leverage', 'Benefon', 'GPS', 'solution', 'providing', 'Location', 'Based', 'Search', 'Technology', 'Communities', 'Platform', 'location', 'relevant', 'multimedia', 'content', 'new', 'powerful', 'commercial', 'model']"
ESI low 150 250 BK real possibility,negative,"['ESI', 'low', '150', '250', 'BK', 'real', 'possibility']"
last quarter 2010 Componenta net sale doubled EUR131m EUR76m period year earlier moved zero pretax profit pretax loss EUR7m,positive,"['last', 'quarter', '2010', 'Componenta', 'net', 'sale', 'doubled', 'EUR131m', 'EUR76m', 'period', 'year', 'earlier', 'moved', 'zero', 'pretax', 'profit', 'pretax', 'loss', 'EUR7m']"
According FinnishRussian Chamber Commerce major construction company Finland operating Russia,neutral,"['According', 'FinnishRussian', 'Chamber', 'Commerce', 'major', 'construction', 'company', 'Finland', 'operating', 'Russia']"
Swedish buyout firm sold remaining 224 percent stake almost eighteen month taking company public Finland,neutral,"['Swedish', 'buyout', 'firm', 'sold', 'remaining', '224', 'percent', 'stake', 'almost', 'eighteen', 'month', 'taking', 'company', 'public', 'Finland']"
SPY wouldnt surprised see green close,positive,"['SPY', 'wouldnt', 'surprised', 'see', 'green', 'close']"
Shells 70 Billion BG Deal Meets Shareholder Skepticism,negative,"['Shells', '70', 'Billion', 'BG', 'Deal', 'Meets', 'Shareholder', 'Skepticism']"
SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 2008 245 PM Company update full year outlook estimate result remain loss full year,negative,"['SSH', 'COMMUNICATIONS', 'SECURITY', 'CORP', 'STOCK', 'EXCHANGE', 'RELEASE', 'OCTOBER', '14', '2008', '245', 'PM', 'Company', 'update', 'full', 'year', 'outlook', 'estimate', 'result', 'remain', 'loss', 'full', 'year']"
Kone net sale rose 14 yearonyear first nine month 2008,positive,"['Kone', 'net', 'sale', 'rose', '14', 'yearonyear', 'first', 'nine', 'month', '2008']"
Stockmann department store total floor space 8000 square metre Stockmann investment project price tag EUR 12 million,neutral,"['Stockmann', 'department', 'store', 'total', 'floor', 'space', '8000', 'square', 'metre', 'Stockmann', 'investment', 'project', 'price', 'tag', 'EUR', '12', 'million']"
Circulation revenue increased 5 Finland 4 Sweden 2008,positive,"['Circulation', 'revenue', 'increased', '5', 'Finland', '4', 'Sweden', '2008']"
SAP Q1 disappoints software license Real problem Cloud growth trail MSFT ORCL GOOG CRM ADBE httpstcojNDphllzq5,negative,"['SAP', 'Q1', 'disappoints', 'software', 'license', 'Real', 'problem', 'Cloud', 'growth', 'trail', 'MSFT', 'ORCL', 'GOOG', 'CRM', 'ADBE', 'httpstcojNDphllzq5']"
subdivision made sale revenue last year EUR 4807 million EUR 4149 million 2008 operating profit EUR 445 million EUR 74 million,positive,"['subdivision', 'made', 'sale', 'revenue', 'last', 'year', 'EUR', '4807', 'million', 'EUR', '4149', 'million', '2008', 'operating', 'profit', 'EUR', '445', 'million', 'EUR', '74', 'million']"
Viking Line canceled service,neutral,"['Viking', 'Line', 'canceled', 'service']"
Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 722007 1030 total 56955 new share Ahlstrom Corporation subscribed option right company stock option program 2001 II 2001,neutral,"['Ahlstrom', 'Corporation', 'STOCK', 'EXCHANGE', 'ANNOUNCEMENT', '722007', '1030', 'total', '56955', 'new', 'share', 'Ahlstrom', 'Corporation', 'subscribed', 'option', 'right', 'company', 'stock', 'option', 'program', '2001', 'II', '2001']"
FB gone green day,positive,"['FB', 'gone', 'green', 'day']"
MSFT SQL Server revenue grew doubledigit SQL Server Premium revenue growing 30 httpstkscoir2F,positive,"['MSFT', 'SQL', 'Server', 'revenue', 'grew', 'doubledigit', 'SQL', 'Server', 'Premium', 'revenue', 'growing', '30', 'httpstkscoir2F']"
According Lnnen Tehtaat CEO Matti Karppinen company aim deliver fish product customer day earlier currently,neutral,"['According', 'Lnnen', 'Tehtaat', 'CEO', 'Matti', 'Karppinen', 'company', 'aim', 'deliver', 'fish', 'product', 'customer', 'day', 'earlier', 'currently']"
company share quoted NASDAQ OMX Helsinki Rautaruukki Oyj RTRKS,neutral,"['company', 'share', 'quoted', 'NASDAQ', 'OMX', 'Helsinki', 'Rautaruukki', 'Oyj', 'RTRKS']"
Elcoteq SE listed Nasdaq OMX Helsinki Ltd,neutral,"['Elcoteq', 'SE', 'listed', 'Nasdaq', 'OMX', 'Helsinki', 'Ltd']"
Two contract turntable anode vibrocompactors delivered Gansu Hualu Aluminum Co Ltd another unnamed costumer,neutral,"['Two', 'contract', 'turntable', 'anode', 'vibrocompactors', 'delivered', 'Gansu', 'Hualu', 'Aluminum', 'Co', 'Ltd', 'another', 'unnamed', 'costumer']"
Aviva Friends Life top forecast ahead 56 billion pound merger,positive,"['Aviva', 'Friends', 'Life', 'top', 'forecast', 'ahead', '56', 'billion', 'pound', 'merger']"
