Sentence,Sentiment
GeoSolutions technology leverage Benefon GPS solution providing Location Based Search Technology Communities Platform location relevant multimedia content new powerful commercial model,positive
ESI low 150 250 BK real possibility,negative
last quarter 2010 Componenta net sale doubled EUR131m EUR76m period year earlier moved zero pretax profit pretax loss EUR7m,positive
According FinnishRussian Chamber Commerce major construction company Finland operating Russia,neutral
Swedish buyout firm sold remaining 224 percent stake almost eighteen month taking company public Finland,neutral
SPY wouldnt surprised see green close,positive
Shells 70 Billion BG Deal Meets Shareholder Skepticism,negative
SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 2008 245 PM Company update full year outlook estimate result remain loss full year,negative
Kone net sale rose 14 yearonyear first nine month 2008,positive
Stockmann department store total floor space 8000 square metre Stockmann investment project price tag EUR 12 million,neutral
Circulation revenue increased 5 Finland 4 Sweden 2008,positive
SAP Q1 disappoints software license Real problem Cloud growth trail MSFT ORCL GOOG CRM ADBE httpstcojNDphllzq5,negative
subdivision made sale revenue last year EUR 4807 million EUR 4149 million 2008 operating profit EUR 445 million EUR 74 million,positive
Viking Line canceled service,neutral
Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 722007 1030 total 56955 new share Ahlstrom Corporation subscribed option right company stock option program 2001 II 2001,neutral
FB gone green day,positive
MSFT SQL Server revenue grew doubledigit SQL Server Premium revenue growing 30 httpstkscoir2F,positive
According Lnnen Tehtaat CEO Matti Karppinen company aim deliver fish product customer day earlier currently,neutral
company share quoted NASDAQ OMX Helsinki Rautaruukki Oyj RTRKS,neutral
Elcoteq SE listed Nasdaq OMX Helsinki Ltd,neutral
Two contract turntable anode vibrocompactors delivered Gansu Hualu Aluminum Co Ltd another unnamed costumer,neutral
Aviva Friends Life top forecast ahead 56 billion pound merger,positive
stead based soft drink usual Teho energy drink made fresh water,neutral
company plan increase unit specialist staff several dozen depending market situation 2010,neutral
company closed last year turnover four million euro,neutral
Shire CEO step drive get Baxalta board talking,positive
Costco Premier Retail Dividend Play httpstcoFa5cnh2t0t COST,positive
fivestorey ecoefficient building gross floor area 15000 sq also include apartment,neutral
first installment Cinema Series concludes profile Finnish inventor Olavi Linden whose personal artistic journey work Fiskars led dozen design award,neutral
welcome,neutral
Stockmann Swedish sector company AB Lindex entered agreement September 30 2007 whereby Stockmann whollyowned subsidiary make public tender offer Lindex issued share,positive
HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 1692008 1332 Huhtamaki Capital Markets Day institutional investor analyst held Espoo September 16 2008 starting 1330 pm Finnish time,neutral
pleased welcome Tapeks Noma Cramo group,positive
Profit tax EUR 1059 827 million,neutral
Royal Dutch Shell Buy BG Group Nearly 70 Billion,positive
FinancialWire tm press release service receives compensation news opinion distribution,neutral
ASSA ABLOY Kaupthing Bank gave neutral recommendation share price target 174 crown 247 19 euro Swedish lock maker Assa Abloy AB,neutral
item included restructuring cost EUR1 6 year earlier EUR13 1 Diluted EPS stood EUR0 3 versus loss per share EUR 01,positive
2005 bank posted net profit Lt 82 mn,neutral
AAPL afternoon selloff usual brutal get ready lose ton money,negative
TSLA recalling pretty much every single model X cnnbrk got short even work jump money trade,negative
Dolce Gabbana asked European Union declare Marimekko Corporation Unikko floral pattern trademark invalid continuing dispute two company,negative
InterContinental Hotels firstquarter global room revenue lag estimate,negative
According Finnish pension insurance company Varma Varma recipient two third revenue earningsrelated pension cover competitive tendering Finland,positive
portion 125 million recorded part winning prior patent dispute Finnish phone maker Nokia Oyj,positive
LG still paying price dividend cut crisis chief say,negative
volume investment two phase project estimated USD 300mn EUR 21503 mn,neutral
Russia accounted 9 Lagardere magazine division revenue EUR 11440 mn USD 14811 mn 2009 USA 18,neutral
company also estimate already carried investment lead increase net sale 2010 2009 reached EUR 1417 million,positive
Profit accounting period EUR 03 mn,neutral
six brewery recorded 52 percent growth domestic beer sale last year 27021 million liter 25688 million liter sold 2005,positive
AugustOctober 2010 company result tax totalled EUR 96 mn EUR 05 mn corresponding period 2009,positive
Systeemitiimi sale project resource also strengthened director Paul Skogberg said,positive
Tesco share price jump Q3 sale top estimate,positive
fine print,neutral
price log clearly improved 2009 also price pulpwood gone,positive
Thus SysOpen Digia accordance Chapter 14 Section 21 Finnish Companies Act 2991978 734 obtained title share Sentera redeemed,neutral
Diluted earnings per share EPS fell EUR 063 EUR 171,neutral
337 pm Eastern time block 2400 contract changed hand bid price 045,neutral
recent technology delivery include refinery technology Anrak Aluminium iron ore pelletizing plant Tata Steel iron ore sintering plant Bhushan Steel,neutral
VIPS similar pattern like beginning May u sell nowwill go much higher drop,positive
firm generated sale 187 mln eur 2005,neutral
Stora Enso also meeting labor authority Employment Economic Development Centres representative government order find solution,neutral
AstraZeneca profit sale stalwart fade,negative
RT andrewnyquist Chartology Yahoo httpstksco1itr YHOO Crazy looking chart nearing breakout resistance line,positive
bullish stock Twitter dip YHOO GDX GOOGL STZ GOLD EW VZ CELG SBUX SCTY httpstcoiuZJelfwt3,positive
